Accession,Description
Q9CZ44,NSFL1 cofactor p47 OS=Mus musculus GN=Nsfl1c PE=1 SV=1 - [NSF1C_MOUSE]
Q9CWS0,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Mus musculus GN=Ddah1 PE=1 SV=3 - [DDAH1_MOUSE]"
Q6PIE5,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Mus musculus GN=Atp1a2 PE=1 SV=1 - [AT1A2_MOUSE]
P62858,40S ribosomal protein S28 OS=Mus musculus GN=Rps28 PE=2 SV=1 - [RS28_MOUSE]
Q9Z2Y8,Proline synthase co-transcribed bacterial homolog protein OS=Mus musculus GN=Prosc PE=1 SV=1 - [PROSC_MOUSE]
Q60864,Stress-induced-phosphoprotein 1 OS=Mus musculus GN=Stip1 PE=1 SV=1 - [STIP1_MOUSE]
Q60737,Casein kinase II subunit alpha OS=Mus musculus GN=Csnk2a1 PE=1 SV=2 - [CSK21_MOUSE]
Q9CQI3,Glia maturation factor beta OS=Mus musculus GN=Gmfb PE=1 SV=3 - [GMFB_MOUSE]
P11499,Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3 - [HS90B_MOUSE]
Q9QUM9,Proteasome subunit alpha type-6 OS=Mus musculus GN=Psma6 PE=1 SV=1 - [PSA6_MOUSE]
Q9EQ20,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1 - [MMSA_MOUSE]"
Q6R891,Neurabin-2 OS=Mus musculus GN=Ppp1r9b PE=1 SV=1 - [NEB2_MOUSE]
Q91VM5,"RNA binding motif protein, X-linked-like-1 OS=Mus musculus GN=Rbmxl1 PE=1 SV=1 - [RMXL1_MOUSE]"
P18872,Guanine nucleotide-binding protein G(o) subunit alpha OS=Mus musculus GN=Gnao1 PE=1 SV=3 - [GNAO_MOUSE]
Q9QZM0,Ubiquilin-2 OS=Mus musculus GN=Ubqln2 PE=1 SV=2 - [UBQL2_MOUSE]
P29758,"Ornithine aminotransferase, mitochondrial OS=Mus musculus GN=Oat PE=1 SV=1 - [OAT_MOUSE]"
Q02819,Nucleobindin-1 OS=Mus musculus GN=Nucb1 PE=1 SV=2 - [NUCB1_MOUSE]
P70663,SPARC-like protein 1 OS=Mus musculus GN=Sparcl1 PE=2 SV=3 - [SPRL1_MOUSE]
P07901,Heat shock protein HSP 90-alpha OS=Mus musculus GN=Hsp90aa1 PE=1 SV=4 - [HS90A_MOUSE]
P70296,Phosphatidylethanolamine-binding protein 1 OS=Mus musculus GN=Pebp1 PE=1 SV=3 - [PEBP1_MOUSE]
O08599,Syntaxin-binding protein 1 OS=Mus musculus GN=Stxbp1 PE=1 SV=2 - [STXB1_MOUSE]
P21619,Lamin-B2 OS=Mus musculus GN=Lmnb2 PE=1 SV=2 - [LMNB2_MOUSE]
P63028,Translationally-controlled tumor protein OS=Mus musculus GN=Tpt1 PE=1 SV=1 - [TCTP_MOUSE]
Q99JA0,Calcitonin gene-related peptide 1 OS=Mus musculus GN=Calca PE=2 SV=1 - [CALCA_MOUSE]
O70591,Prefoldin subunit 2 OS=Mus musculus GN=Pfdn2 PE=2 SV=2 - [PFD2_MOUSE]
P45952,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadm PE=1 SV=1 - [ACADM_MOUSE]"
Q9WV02,"RNA-binding motif protein, X chromosome OS=Mus musculus GN=Rbmx PE=1 SV=1 - [RBMX_MOUSE]"
Q08331,Calretinin OS=Mus musculus GN=Calb2 PE=1 SV=3 - [CALB2_MOUSE]
P97427,Dihydropyrimidinase-related protein 1 OS=Mus musculus GN=Crmp1 PE=1 SV=1 - [DPYL1_MOUSE]
Q05816,"Fatty acid-binding protein, epidermal OS=Mus musculus GN=Fabp5 PE=1 SV=3 - [FABP5_MOUSE]"
Q8R317,Ubiquilin-1 OS=Mus musculus GN=Ubqln1 PE=1 SV=1 - [UBQL1_MOUSE]
Q8C5H8,"NAD kinase 2, mitochondrial OS=Mus musculus GN=Nadk2 PE=1 SV=2 - [NAKD2_MOUSE]"
Q68FD5,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3 - [CLH1_MOUSE]
Q3UH59,Myosin-10 OS=Mus musculus GN=Myh10 PE=2 SV=1 - [Q3UH59_MOUSE]
E9Q0U7,Heat shock protein 105 kDa OS=Mus musculus GN=Hsph1 PE=1 SV=1 - [E9Q0U7_MOUSE]
P47754,F-actin-capping protein subunit alpha-2 OS=Mus musculus GN=Capza2 PE=1 SV=3 - [CAZA2_MOUSE]
Q9WUK2,Eukaryotic translation initiation factor 4H OS=Mus musculus GN=Eif4h PE=1 SV=3 - [IF4H_MOUSE]
E9QNA7,Sorbin and SH3 domain-containing protein 1 OS=Mus musculus GN=Sorbs1 PE=1 SV=1 - [E9QNA7_MOUSE]
Q62417,Sorbin and SH3 domain-containing protein 1 OS=Mus musculus GN=Sorbs1 PE=1 SV=2 - [SRBS1_MOUSE]
O08807,Peroxiredoxin-4 OS=Mus musculus GN=Prdx4 PE=1 SV=1 - [PRDX4_MOUSE]
P62627,Dynein light chain roadblock-type 1 OS=Mus musculus GN=Dynlrb1 PE=1 SV=3 - [DLRB1_MOUSE]
Q6PH08,ERC protein 2 OS=Mus musculus GN=Erc2 PE=2 SV=2 - [ERC2_MOUSE]
P20357,Microtubule-associated protein 2 OS=Mus musculus GN=Map2 PE=1 SV=2 - [MTAP2_MOUSE]
Q9DCM0,"Persulfide dioxygenase ETHE1, mitochondrial OS=Mus musculus GN=Ethe1 PE=1 SV=2 - [ETHE1_MOUSE]"
F7C9G3,"4-aminobutyrate aminotransferase, mitochondrial (Fragment) OS=Mus musculus GN=Abat PE=1 SV=1 - [F7C9G3_MOUSE]"
Q3TMU8,Dihydropyrimidinase-like 4 OS=Mus musculus GN=Dpysl4 PE=2 SV=1 - [Q3TMU8_MOUSE]
Q9D2G2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlst PE=1 SV=1 - [ODO2_MOUSE]"
P62073,Mitochondrial import inner membrane translocase subunit Tim10 OS=Mus musculus GN=Timm10 PE=1 SV=1 - [TIM10_MOUSE]
Q9QXS6,Drebrin OS=Mus musculus GN=Dbn1 PE=1 SV=4 - [DREB_MOUSE]
Q61330,Contactin-2 OS=Mus musculus GN=Cntn2 PE=1 SV=2 - [CNTN2_MOUSE]
Q8R464,Cell adhesion molecule 4 OS=Mus musculus GN=Cadm4 PE=1 SV=1 - [CADM4_MOUSE]
P06801,NADP-dependent malic enzyme OS=Mus musculus GN=Me1 PE=1 SV=2 - [MAOX_MOUSE]
P62075,Mitochondrial import inner membrane translocase subunit Tim13 OS=Mus musculus GN=Timm13 PE=1 SV=1 - [TIM13_MOUSE]
O08795,Glucosidase 2 subunit beta OS=Mus musculus GN=Prkcsh PE=1 SV=1 - [GLU2B_MOUSE]
Q63810,Calcineurin subunit B type 1 OS=Mus musculus GN=Ppp3r1 PE=1 SV=3 - [CANB1_MOUSE]
Q6IRU5,Clathrin light chain B OS=Mus musculus GN=Cltb PE=1 SV=1 - [CLCB_MOUSE]
Q8VDQ8,NAD-dependent protein deacetylase sirtuin-2 OS=Mus musculus GN=Sirt2 PE=1 SV=2 - [SIR2_MOUSE]
Q3TYJ3,Cytoplasmic dynein 1 intermediate chain 1 OS=Mus musculus GN=Dync1i1 PE=2 SV=1 - [Q3TYJ3_MOUSE]
Q9R0H0,Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus GN=Acox1 PE=1 SV=5 - [ACOX1_MOUSE]
Q80TB8,Synaptic vesicle membrane protein VAT-1 homolog-like OS=Mus musculus GN=Vat1l PE=2 SV=2 - [VAT1L_MOUSE]
O55125,Protein NipSnap homolog 1 OS=Mus musculus GN=Nipsnap1 PE=1 SV=1 - [NIPS1_MOUSE]
P09103,Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2 - [PDIA1_MOUSE]
P47857,"ATP-dependent 6-phosphofructokinase, muscle type OS=Mus musculus GN=Pfkm PE=1 SV=3 - [PFKAM_MOUSE]"
Q5SRX1,TOM1-like protein 2 OS=Mus musculus GN=Tom1l2 PE=2 SV=1 - [TM1L2_MOUSE]
Q99LB2,Dehydrogenase/reductase SDR family member 4 OS=Mus musculus GN=Dhrs4 PE=1 SV=3 - [DHRS4_MOUSE]
Q80X90,Filamin-B OS=Mus musculus GN=Flnb PE=1 SV=3 - [FLNB_MOUSE]
Q9D6R2,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1 - [IDH3A_MOUSE]"
P07356,Annexin A2 OS=Mus musculus GN=Anxa2 PE=1 SV=2 - [ANXA2_MOUSE]
F8WGT1,Adenosylhomocysteinase OS=Mus musculus GN=Ahcyl2 PE=1 SV=1 - [F8WGT1_MOUSE]
P39053,Dynamin-1 OS=Mus musculus GN=Dnm1 PE=1 SV=2 - [DYN1_MOUSE]
Q61292,Laminin subunit beta-2 OS=Mus musculus GN=Lamb2 PE=2 SV=2 - [LAMB2_MOUSE]
E9PZF0,Nucleoside diphosphate kinase OS=Mus musculus GN=Gm20390 PE=3 SV=1 - [E9PZF0_MOUSE]
Q91VD9,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus GN=Ndufs1 PE=1 SV=2 - [NDUS1_MOUSE]"
Q9DCB8,"Iron-sulfur cluster assembly 2 homolog, mitochondrial OS=Mus musculus GN=Isca2 PE=2 SV=2 - [ISCA2_MOUSE]"
F6X9I3,Peptidyl-prolyl cis-trans isomerase (Fragment) OS=Mus musculus GN=Fkbp1a PE=1 SV=1 - [F6X9I3_MOUSE]
P61264,Syntaxin-1B OS=Mus musculus GN=Stx1b PE=1 SV=1 - [STX1B_MOUSE]
Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus GN=Atp1a1 PE=1 SV=1 - [AT1A1_MOUSE]
F7AA26,Protein Pakap (Fragment) OS=Mus musculus GN=Pakap PE=4 SV=1 - [F7AA26_MOUSE]
P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadvl PE=1 SV=3 - [ACADV_MOUSE]"
Q9CWJ9,Bifunctional purine biosynthesis protein PURH OS=Mus musculus GN=Atic PE=1 SV=2 - [PUR9_MOUSE]
F7BX26,Serine/threonine-protein phosphatase (Fragment) OS=Mus musculus GN=Ppp5c PE=3 SV=1 - [F7BX26_MOUSE]
P63044,Vesicle-associated membrane protein 2 OS=Mus musculus GN=Vamp2 PE=1 SV=2 - [VAMP2_MOUSE]
B0QZN5,Vesicle-associated membrane protein 2 OS=Mus musculus GN=Vamp2 PE=4 SV=1 - [B0QZN5_MOUSE]
M0QWP1,Agrin OS=Mus musculus GN=Agrn PE=1 SV=1 - [M0QWP1_MOUSE]
Q9R0Y5,Adenylate kinase isoenzyme 1 OS=Mus musculus GN=Ak1 PE=1 SV=1 - [KAD1_MOUSE]
Q78ZA7,Nucleosome assembly protein 1-like 4 OS=Mus musculus GN=Nap1l4 PE=1 SV=1 - [NP1L4_MOUSE]
P48320,Glutamate decarboxylase 2 OS=Mus musculus GN=Gad2 PE=2 SV=1 - [DCE2_MOUSE]
P50247,Adenosylhomocysteinase OS=Mus musculus GN=Ahcy PE=1 SV=3 - [SAHH_MOUSE]
Q3THW5,"Histone H2A,V OS=Mus musculus GN=H2afv PE=1 SV=3 - [H2AV_MOUSE]"
P70441,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Mus musculus GN=Slc9a3r1 PE=1 SV=3 - [NHRF1_MOUSE]
Q4VAA2,Protein CDV3 OS=Mus musculus GN=Cdv3 PE=1 SV=2 - [CDV3_MOUSE]
P52760,Ribonuclease UK114 OS=Mus musculus GN=Hrsp12 PE=1 SV=3 - [UK114_MOUSE]
P42669,Transcriptional activator protein Pur-alpha OS=Mus musculus GN=Pura PE=1 SV=1 - [PURA_MOUSE]
Q9CWE0,Mitochondrial fission regulator 1-like OS=Mus musculus GN=Mtfr1l PE=1 SV=1 - [MFR1L_MOUSE]
O88342,WD repeat-containing protein 1 OS=Mus musculus GN=Wdr1 PE=1 SV=3 - [WDR1_MOUSE]
Q9D8S9,BolA-like protein 1 OS=Mus musculus GN=Bola1 PE=1 SV=1 - [BOLA1_MOUSE]
A1BN54,Alpha actinin 1a OS=Mus musculus GN=Actn1 PE=2 SV=1 - [A1BN54_MOUSE]
P45878,Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Mus musculus GN=Fkbp2 PE=1 SV=1 - [FKBP2_MOUSE]
Q3UHJ0,AP2-associated protein kinase 1 OS=Mus musculus GN=Aak1 PE=1 SV=2 - [AAK1_MOUSE]
Q8JZN5,"Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Mus musculus GN=Acad9 PE=1 SV=2 - [ACAD9_MOUSE]"
Q9JKK7,Tropomodulin-2 OS=Mus musculus GN=Tmod2 PE=1 SV=2 - [TMOD2_MOUSE]
P12382,"ATP-dependent 6-phosphofructokinase, liver type OS=Mus musculus GN=Pfkl PE=1 SV=4 - [PFKAL_MOUSE]"
P07724,Serum albumin OS=Mus musculus GN=Alb PE=1 SV=3 - [ALBU_MOUSE]
P28656,Nucleosome assembly protein 1-like 1 OS=Mus musculus GN=Nap1l1 PE=1 SV=2 - [NP1L1_MOUSE]
P47753,F-actin-capping protein subunit alpha-1 OS=Mus musculus GN=Capza1 PE=1 SV=4 - [CAZA1_MOUSE]
A2ARP8,Microtubule-associated protein 1A OS=Mus musculus GN=Map1a PE=1 SV=1 - [A2ARP8_MOUSE]
E9Q4K0,Actin-binding LIM protein 2 OS=Mus musculus GN=Ablim2 PE=1 SV=1 - [E9Q4K0_MOUSE]
Q8QZS1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Mus musculus GN=Hibch PE=1 SV=1 - [HIBCH_MOUSE]"
F6YY69,14-3-3 protein theta (Fragment) OS=Mus musculus GN=Ywhaq PE=4 SV=1 - [F6YY69_MOUSE]
Q80W21,Glutathione S-transferase Mu 7 OS=Mus musculus GN=Gstm7 PE=1 SV=1 - [GSTM7_MOUSE]
Q80TZ3,Putative tyrosine-protein phosphatase auxilin OS=Mus musculus GN=Dnajc6 PE=2 SV=2 - [AUXI_MOUSE]
Q91VW3,SH3 domain-binding glutamic acid-rich-like protein 3 OS=Mus musculus GN=Sh3bgrl3 PE=1 SV=1 - [SH3L3_MOUSE]
Q8K1Z0,"Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Mus musculus GN=Coq9 PE=1 SV=1 - [COQ9_MOUSE]"
A2AUK8,"Band 4,1-like protein 1 OS=Mus musculus GN=Epb4,1l1 PE=4 SV=1 - [A2AUK8_MOUSE]"
P48758,Carbonyl reductase [NADPH] 1 OS=Mus musculus GN=Cbr1 PE=1 SV=3 - [CBR1_MOUSE]
Q8CBC8,Branched-chain-amino-acid aminotransferase OS=Mus musculus GN=Bcat1 PE=2 SV=1 - [Q8CBC8_MOUSE]
Q9JLZ3,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Auh PE=1 SV=1 - [AUHM_MOUSE]"
P58252,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2 - [EF2_MOUSE]
P68510,14-3-3 protein eta OS=Mus musculus GN=Ywhah PE=1 SV=2 - [1433F_MOUSE]
A2AEW8,GRIP1-associated protein 1 OS=Mus musculus GN=Gripap1 PE=2 SV=1 - [A2AEW8_MOUSE]
P12787,"Cytochrome c oxidase subunit 5A, mitochondrial OS=Mus musculus GN=Cox5a PE=1 SV=2 - [COX5A_MOUSE]"
P63325,40S ribosomal protein S10 OS=Mus musculus GN=Rps10 PE=1 SV=1 - [RS10_MOUSE]
B1AWE0,Clathrin light chain A OS=Mus musculus GN=Clta PE=1 SV=1 - [B1AWE0_MOUSE]
E9Q3V6,Septin-2 OS=Mus musculus GN=Sept2 PE=1 SV=1 - [E9Q3V6_MOUSE]
Q9DCD0,"6-phosphogluconate dehydrogenase, decarboxylating OS=Mus musculus GN=Pgd PE=1 SV=3 - [6PGD_MOUSE]"
Q3TPJ8,Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus GN=Dync1i2 PE=2 SV=1 - [Q3TPJ8_MOUSE]
P62806,Histone H4 OS=Mus musculus GN=Hist1h4a PE=1 SV=2 - [H4_MOUSE]
P60041,Somatostatin OS=Mus musculus GN=Sst PE=2 SV=1 - [SMS_MOUSE]
Q80T06,Elongation factor 1-delta OS=Mus musculus GN=Eef1d PE=2 SV=1 - [Q80T06_MOUSE]
P19157,Glutathione S-transferase P 1 OS=Mus musculus GN=Gstp1 PE=1 SV=2 - [GSTP1_MOUSE]
E9Q0W6,Actin-binding LIM protein 2 OS=Mus musculus GN=Ablim2 PE=1 SV=1 - [E9Q0W6_MOUSE]
E9QKC6,Tripartite motif-containing protein 2 OS=Mus musculus GN=Trim2 PE=4 SV=1 - [E9QKC6_MOUSE]
P15864,"Histone H1,2 OS=Mus musculus GN=Hist1h1c PE=1 SV=2 - [H12_MOUSE]"
P43277,"Histone H1,3 OS=Mus musculus GN=Hist1h1d PE=1 SV=2 - [H13_MOUSE]"
P48453,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform OS=Mus musculus GN=Ppp3cb PE=1 SV=2 - [PP2BB_MOUSE]
P24270,Catalase OS=Mus musculus GN=Cat PE=1 SV=4 - [CATA_MOUSE]
Q91VC7,Protein phosphatase 1 regulatory subunit 14A OS=Mus musculus GN=Ppp1r14a PE=2 SV=1 - [PP14A_MOUSE]
Q921L6,"Cortactin, isoform CRA_a OS=Mus musculus GN=Cttn PE=2 SV=1 - [Q921L6_MOUSE]"
P56812,Programmed cell death protein 5 OS=Mus musculus GN=Pdcd5 PE=1 SV=3 - [PDCD5_MOUSE]
Q60598,Src substrate cortactin OS=Mus musculus GN=Cttn PE=1 SV=2 - [SRC8_MOUSE]
Q8R0F8,"Acylpyruvase FAHD1, mitochondrial OS=Mus musculus GN=Fahd1 PE=1 SV=2 - [FAHD1_MOUSE]"
Q99MN9,"Propionyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus GN=Pccb PE=1 SV=2 - [PCCB_MOUSE]"
Q6PE15,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Mus musculus GN=Abhd10 PE=2 SV=1 - [ABHDA_MOUSE]"
Q5NCM5,Epsin-2 OS=Mus musculus GN=Epn2 PE=1 SV=1 - [Q5NCM5_MOUSE]
Q99JY0,"Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus GN=Hadhb PE=1 SV=1 - [ECHB_MOUSE]"
Q8R164,Valacyclovir hydrolase OS=Mus musculus GN=Bphl PE=1 SV=1 - [BPHL_MOUSE]
P13020,Gelsolin OS=Mus musculus GN=Gsn PE=1 SV=3 - [GELS_MOUSE]
P60766,Cell division control protein 42 homolog OS=Mus musculus GN=Cdc42 PE=1 SV=2 - [CDC42_MOUSE]
Q9EQF6,Dihydropyrimidinase-related protein 5 OS=Mus musculus GN=Dpysl5 PE=1 SV=1 - [DPYL5_MOUSE]
O70251,Elongation factor 1-beta OS=Mus musculus GN=Eef1b PE=1 SV=5 - [EF1B_MOUSE]
Q7TSJ2,Microtubule-associated protein 6 OS=Mus musculus GN=Map6 PE=1 SV=2 - [MAP6_MOUSE]
O08585,Clathrin light chain A OS=Mus musculus GN=Clta PE=1 SV=2 - [CLCA_MOUSE]
Q9CR95,Adaptin ear-binding coat-associated protein 1 OS=Mus musculus GN=Necap1 PE=1 SV=2 - [NECP1_MOUSE]
Q9CR86,Calcium-regulated heat stable protein 1 OS=Mus musculus GN=Carhsp1 PE=1 SV=1 - [CHSP1_MOUSE]
O88696,"ATP-dependent Clp protease proteolytic subunit, mitochondrial OS=Mus musculus GN=Clpp PE=1 SV=1 - [CLPP_MOUSE]"
P14733,Lamin-B1 OS=Mus musculus GN=Lmnb1 PE=1 SV=3 - [LMNB1_MOUSE]
P09528,Ferritin heavy chain OS=Mus musculus GN=Fth1 PE=1 SV=2 - [FRIH_MOUSE]
Q9WVA4,Transgelin-2 OS=Mus musculus GN=Tagln2 PE=1 SV=4 - [TAGL2_MOUSE]
P55012,Solute carrier family 12 member 2 OS=Mus musculus GN=Slc12a2 PE=1 SV=2 - [S12A2_MOUSE]
Q8CHT0,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh4a1 PE=1 SV=3 - [AL4A1_MOUSE]"
P10126,Elongation factor 1-alpha 1 OS=Mus musculus GN=Eef1a1 PE=1 SV=3 - [EF1A1_MOUSE]
A2AUD5,Tumor protein D54 OS=Mus musculus GN=Tpd52l2 PE=1 SV=1 - [A2AUD5_MOUSE]
Q9CYZ2,Tumor protein D54 OS=Mus musculus GN=Tpd52l2 PE=1 SV=1 - [TPD54_MOUSE]
Q60902,Epidermal growth factor receptor substrate 15-like 1 OS=Mus musculus GN=Eps15l1 PE=1 SV=3 - [EP15R_MOUSE]
Q9D1A2,Cytosolic non-specific dipeptidase OS=Mus musculus GN=Cndp2 PE=1 SV=1 - [CNDP2_MOUSE]
Q3UNZ8,Quinone oxidoreductase-like protein 2 OS=Mus musculus PE=1 SV=1 - [QORL2_MOUSE]
Q3THS6,S-adenosylmethionine synthase isoform type-2 OS=Mus musculus GN=Mat2a PE=2 SV=2 - [METK2_MOUSE]
Q9WUM3,Coronin-1B OS=Mus musculus GN=Coro1b PE=1 SV=1 - [COR1B_MOUSE]
E9Q6U4,Prefoldin subunit 4 OS=Mus musculus GN=Pfdn4 PE=3 SV=1 - [E9Q6U4_MOUSE]
Q9R069,Basal cell adhesion molecule OS=Mus musculus GN=Bcam PE=2 SV=1 - [BCAM_MOUSE]
Q8BKZ9,"Pyruvate dehydrogenase protein X component, mitochondrial OS=Mus musculus GN=Pdhx PE=1 SV=1 - [ODPX_MOUSE]"
P62631,Elongation factor 1-alpha 2 OS=Mus musculus GN=Eef1a2 PE=1 SV=1 - [EF1A2_MOUSE]
Q9Z0P4,Paralemmin-1 OS=Mus musculus GN=Palm PE=1 SV=1 - [PALM_MOUSE]
Q8BL66,Early endosome antigen 1 OS=Mus musculus GN=Eea1 PE=1 SV=2 - [EEA1_MOUSE]
Q9D8Y0,EF-hand domain-containing protein D2 OS=Mus musculus GN=Efhd2 PE=1 SV=1 - [EFHD2_MOUSE]
Q9CR00,26S proteasome non-ATPase regulatory subunit 9 OS=Mus musculus GN=Psmd9 PE=1 SV=1 - [PSMD9_MOUSE]
Q9WTQ5,A-kinase anchor protein 12 OS=Mus musculus GN=Akap12 PE=1 SV=1 - [AKA12_MOUSE]
P57774,Pro-neuropeptide Y OS=Mus musculus GN=Npy PE=1 SV=2 - [NPY_MOUSE]
P23242,Gap junction alpha-1 protein OS=Mus musculus GN=Gja1 PE=1 SV=2 - [CXA1_MOUSE]
P62482,Voltage-gated potassium channel subunit beta-2 OS=Mus musculus GN=Kcnab2 PE=2 SV=1 - [KCAB2_MOUSE]
Q8BH04,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Mus musculus GN=Pck2 PE=1 SV=1 - [PCKGM_MOUSE]"
P23927,Alpha-crystallin B chain OS=Mus musculus GN=Cryab PE=1 SV=2 - [CRYAB_MOUSE]
O08917,Flotillin-1 OS=Mus musculus GN=Flot1 PE=1 SV=1 - [FLOT1_MOUSE]
P84086,Complexin-2 OS=Mus musculus GN=Cplx2 PE=1 SV=1 - [CPLX2_MOUSE]
P97315,Cysteine and glycine-rich protein 1 OS=Mus musculus GN=Csrp1 PE=1 SV=3 - [CSRP1_MOUSE]
Q8JZP2,Synapsin-3 OS=Mus musculus GN=Syn3 PE=1 SV=2 - [SYN3_MOUSE]
J3QQ30,Phosphatidylinositol transfer protein alpha isoform OS=Mus musculus GN=Pitpna PE=4 SV=1 - [J3QQ30_MOUSE]
P97927,Laminin subunit alpha-4 OS=Mus musculus GN=Lama4 PE=1 SV=2 - [LAMA4_MOUSE]
F8WGR0,Alpha-adducin OS=Mus musculus GN=Add1 PE=1 SV=1 - [F8WGR0_MOUSE]
P47934,Carnitine O-acetyltransferase OS=Mus musculus GN=Crat PE=1 SV=3 - [CACP_MOUSE]
Q9Z2U1,Proteasome subunit alpha type-5 OS=Mus musculus GN=Psma5 PE=1 SV=1 - [PSA5_MOUSE]
Q99L47,Hsc70-interacting protein OS=Mus musculus GN=St13 PE=1 SV=1 - [F10A1_MOUSE]
Q9D8B3,Charged multivesicular body protein 4b OS=Mus musculus GN=Chmp4b PE=1 SV=2 - [CHM4B_MOUSE]
Q9WUM4,Coronin-1C OS=Mus musculus GN=Coro1c PE=1 SV=2 - [COR1C_MOUSE]
P45591,Cofilin-2 OS=Mus musculus GN=Cfl2 PE=1 SV=1 - [COF2_MOUSE]
P62983,Ubiquitin-40S ribosomal protein S27a OS=Mus musculus GN=Rps27a PE=1 SV=2 - [RS27A_MOUSE]
Q63912,Oligodendrocyte-myelin glycoprotein OS=Mus musculus GN=Omg PE=1 SV=1 - [OMGP_MOUSE]
Q6GSS7,Histone H2A type 2-A OS=Mus musculus GN=Hist2h2aa1 PE=1 SV=3 - [H2A2A_MOUSE]
Q8R1M2,"Histone H2A,J OS=Mus musculus GN=H2afj PE=1 SV=1 - [H2AJ_MOUSE]"
P29595,NEDD8 OS=Mus musculus GN=Nedd8 PE=1 SV=2 - [NEDD8_MOUSE]
P43274,"Histone H1,4 OS=Mus musculus GN=Hist1h1e PE=1 SV=2 - [H14_MOUSE]"
P60487,Pyridoxal phosphate phosphatase OS=Mus musculus GN=Pdxp PE=1 SV=1 - [PLPP_MOUSE]
P99027,60S acidic ribosomal protein P2 OS=Mus musculus GN=Rplp2 PE=1 SV=3 - [RLA2_MOUSE]
Q9CPU0,Lactoylglutathione lyase OS=Mus musculus GN=Glo1 PE=1 SV=3 - [LGUL_MOUSE]
D3Z442,Mth938 domain-containing protein OS=Mus musculus GN=Aamdc PE=4 SV=1 - [D3Z442_MOUSE]
E9PWE0,Protein-L-isoaspartate O-methyltransferase OS=Mus musculus GN=Pcmt1 PE=3 SV=1 - [E9PWE0_MOUSE]
Q8R2K3,Single-stranded DNA-binding protein OS=Mus musculus GN=Ssbp1 PE=2 SV=1 - [Q8R2K3_MOUSE]
Q9DB15,"39S ribosomal protein L12, mitochondrial OS=Mus musculus GN=Mrpl12 PE=1 SV=2 - [RM12_MOUSE]"
P14602,Heat shock protein beta-1 OS=Mus musculus GN=Hspb1 PE=1 SV=3 - [HSPB1_MOUSE]
Q62443,Neuronal pentraxin-1 OS=Mus musculus GN=Nptx1 PE=2 SV=1 - [NPTX1_MOUSE]
P14211,Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1 - [CALR_MOUSE]
Q9Z2U0,Proteasome subunit alpha type-7 OS=Mus musculus GN=Psma7 PE=1 SV=1 - [PSA7_MOUSE]
Q8R3P0,Aspartoacylase OS=Mus musculus GN=Aspa PE=1 SV=2 - [ACY2_MOUSE]
Q08642,Protein-arginine deiminase type-2 OS=Mus musculus GN=Padi2 PE=1 SV=2 - [PADI2_MOUSE]
Q8K406,Leucine-rich repeat LGI family member 3 OS=Mus musculus GN=Lgi3 PE=1 SV=1 - [LGI3_MOUSE]
P32921,"Tryptophan--tRNA ligase, cytoplasmic OS=Mus musculus GN=Wars PE=1 SV=2 - [SYWC_MOUSE]"
D3Z0K8,"Thioredoxin reductase 2, mitochondrial OS=Mus musculus GN=Txnrd2 PE=1 SV=1 - [D3Z0K8_MOUSE]"
P12960,Contactin-1 OS=Mus musculus GN=Cntn1 PE=1 SV=1 - [CNTN1_MOUSE]
